model,universe,target,strategy,gate,net_sharpe_fixed,gross_sharpe_fixed,ann_return_fixed,spread_cost_fixed,max_drawdown_fixed,pct_days_invested,net_sharpe_cs,ann_return_cs,spread_cost_cs,max_drawdown_cs,delta_net_sharpe,spread_cost_ratio
lgbm,index_hk,cc,index_threshold,gate_off,0.828990116819425,1.093335452381326,0.1547867983005719,0.2915999999999999,-0.2788036384452215,49.31147540983606,-1.0845326733517209,-0.204216785734083,2.4641415303684475,-1.4358207549635935,-1.9135227901711456,8.450416770810865
tcn,index_hk,cc,index_threshold,gate_off,0.2290895511721495,0.2753081441432615,0.0155994438092184,0.018,-0.1391052124279505,5.573770491803279,-0.0038608382247824,-0.0002635392883286,0.1139962270784096,-0.1520972509140418,-0.2329503893969318,6.333123726578312
lgbm,index_hk,cc,index_threshold,gate_on,0.2478108288436201,0.511302583646549,0.0332216042131754,0.2088,-0.309059347628375,32.98360655737705,-1.6665389349669744,-0.2282024240439029,1.7908303297303358,-1.6310978577148243,-1.9143497638105944,8.576773609819616
tcn,index_hk,cc,index_threshold,gate_on,0.4973380196549758,0.5391299309067902,0.030494899011492,0.0152,-0.0578821283482663,3.672131147540984,0.2826422182957948,0.0173025017009229,0.0950349440421346,-0.0769548812716461,-0.214695801359181,6.2522989501404345
lgbm,index_hk,gap,index_threshold,gate_off,2.375899642292856,2.744045313226039,0.2780636066806469,0.26,-0.1035755729725366,39.34426229508197,-0.316999091803542,-0.0375874702971528,2.170190049171209,-0.6917192009768656,-2.6928987340963983,8.34688480450465
tcn,index_hk,gap,index_threshold,gate_off,-0.0636979410975464,-0.0016407926030987,-0.0033400108487556,0.0188,-0.1711241508165874,4.655737704918033,-0.3894442500667939,-0.0208757533487118,0.1249190766366398,-0.2397589791735239,-0.3257463089692475,6.644631735991479
lgbm,index_hk,gap,index_threshold,gate_on,1.5454818137751358,1.8661474411203336,0.1350589961888022,0.1704,-0.081000382290684,23.147540983606557,-0.7989005926178007,-0.0706597981436783,1.415325243480289,-0.8424183279743847,-2.3443824063929366,8.305899316198879
tcn,index_hk,gap,index_threshold,gate_on,-0.0761610430771149,-0.0207363845244956,-0.0038332325140061,0.016,-0.1542433750529253,4.19672131147541,-0.3607469724009485,-0.0184939563442561,0.1047206501632196,-0.2011853174320141,-0.2845859293238336,6.545040635201225
lgbm,index_hk,intraday,index_threshold,gate_off,-0.0044653475430547,0.3747078168173056,-0.0006786061293457,0.3356,-0.540035536404501,66.88524590163935,-2.622039688192868,-0.4055583143329685,2.785764900835416,-2.689754600199363,-2.6175743406498135,8.300848929783719
tcn,index_hk,intraday,index_threshold,gate_off,0.0640385159716091,0.1255723412045619,0.0030834101250601,0.0168,-0.096977003360836,5.639344262295082,-0.246537641542287,-0.011874038526667,0.1073163063249364,-0.1341052301611595,-0.3105761575138961,6.38787537648431
lgbm,index_hk,intraday,index_threshold,gate_on,-0.0822347423036851,0.2759480372349209,-0.0096738988960213,0.246,-0.468145928342576,46.0983606557377,-2.5603860990309255,-0.3100187012976813,2.063562792311633,-2.0877710738282182,-2.47815135672724,8.388466635413142
tcn,index_hk,intraday,index_threshold,gate_on,0.078200679798391,0.1326783117923365,0.0036673353923325,0.0144,-0.11719787388888,4.786885245901639,-0.1814386237645109,-0.0085390625326665,0.0882680826810464,-0.1382558423825851,-0.2596393035629019,6.129727963961556
lgbm,index_kr,cc,index_threshold,gate_off,1.1593496195464923,1.4011110669295224,0.1598582556225384,0.2,-0.249397948267778,28.383705650459923,-0.4443999561238876,-0.0617531688821618,1.5384626511752135,-0.8695097902604488,-1.60374957567038,7.692313255876067
tcn,index_kr,cc,index_threshold,gate_off,-0.5023851244932985,-0.4774208918510321,-0.0454099551438176,0.012,-0.3942599649965384,7.6215505913272015,-0.6720278944197533,-0.0601257252872882,0.1008785799935005,-0.4382001855534467,-0.1696427699264547,8.406548332791708
lgbm,index_kr,cc,index_threshold,gate_on,0.9013183142769234,1.1115504952146789,0.1059658822274504,0.148,-0.1871399441443305,19.71090670170828,-0.3938749434024958,-0.0467369268537875,1.07027648976843,-0.7529714381521116,-1.2951932576794192,7.231597903840744
tcn,index_kr,cc,index_threshold,gate_on,-0.7980065732738549,-0.7700308909507418,-0.0620541557946874,0.0116,-0.4461812821111101,5.650459921156373,-0.9815334782499504,-0.0755705842770284,0.0932349371036628,-0.5077281294052512,-0.1835269049760954,8.037494577901967
lgbm,index_kr,gap,index_threshold,gate_off,3.741183094572644,4.138098620181792,0.4719318282032729,0.3044,-0.1300222050813064,58.8042049934297,1.3222774979145897,0.1650844618789337,2.157660680736684,-0.1917014789376078,-2.418905596658054,7.088241395324191
tcn,index_kr,gap,index_threshold,gate_off,-0.6874773252642209,-0.6440223126849937,-0.0395333330685167,0.0144,-0.3309559738936788,5.650459921156373,-0.9916453836656348,-0.0575213116522181,0.1230416801761652,-0.395587018507296,-0.3041680584014139,8.544561123344806
lgbm,index_kr,gap,index_threshold,gate_on,2.692366379837023,3.074264221935876,0.2364579327074127,0.2056,-0.1298495230924233,38.501971090670175,0.4641529512588991,0.0409854380815911,1.3861918127797632,-0.2451484860183194,-2.228213428578124,6.742178077722584
tcn,index_kr,gap,index_threshold,gate_on,-0.5954477353704957,-0.547990226921037,-0.0302365436523623,0.014,-0.2741062467682401,4.7963206307490145,-0.9103448338160728,-0.0465637336438977,0.1126110443139554,-0.3298870225722621,-0.3148970984455771,8.043646022425385
lgbm,index_kr,intraday,index_threshold,gate_off,-0.6304244421071542,-0.3037799495943408,-0.0694802920959316,0.212,-0.5663062438378464,29.0407358738502,-2.5966698059815956,-0.295655259586267,1.5780250020646438,-1.87167354431113,-1.9662453638744417,7.443514160682282
tcn,index_kr,intraday,index_threshold,gate_off,-0.2504778353623099,-0.2203279912840164,-0.0193747853251862,0.0132,-0.2866597357719572,6.176084099868594,-0.5661355406595591,-0.0447760062932003,0.1666153107671332,-0.408055958586758,-0.3156577052972492,12.62237202781312
lgbm,index_kr,intraday,index_threshold,gate_on,0.1990488950382228,0.524475576127462,0.0149873177605759,0.1444,-0.1699869167114704,18.659658344283837,-1.5853207812971526,-0.1228347639254596,0.9768016203418496,-0.8342739293310861,-1.7843696763353754,6.764554157492033
tcn,index_kr,intraday,index_threshold,gate_on,-0.3422916512792796,-0.3193667844551804,-0.0246160564831964,0.0092,-0.2866597357719572,4.270696452036794,-0.5271221735393455,-0.0378407659560061,0.0890730468953024,-0.324951609406398,-0.1848305222600659,9.681852923402436
